	1st Creature Stack			2nd Creature Stack			3rd Creature Stack		
Name	Low	High	Type (reference only)	Low	High	Type (reference only)	Low	High	Type (reference only)
Оррін	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Валеска	4	7	LightCrossbowman	4	7	LightCrossbowman	4	7	LightCrossbowman
Едрік	10	20	Pikeman	2	3	Griffin	2	3	Griffin
Сильвія	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Лорд Хаарт	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Сорша	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Крістіан	10	20	Pikeman	1	1	Ballista	2	3	Griffin
Тіріс	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Ріон	10	20	Pikeman	1	1	FirstAidTent	2	3	Griffin
Адела	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Кусберт	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Аделаїда	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Інґхам	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Санія	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Лойніс	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Каітлін	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Мефала	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Уфретін	3	5	Dwarf	3	5	Dwarf	3	5	Dwarf
Дженова	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Ріланд	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Тхорґрім	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Івор	12	24	Centaur	3	6	WoodElf	3	6	WoodElf
Кленсі	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Кірре	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Короніус	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Уланд	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Еллешар	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Ґем	12	24	Centaur	1	1	FirstAidTent	3	6	WoodElf
Малком	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Мелодія	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Алаґар	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Аеріс	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Пікведрам	3	5	StoneGargoyle	3	5	StoneGargoyle	3	5	StoneGargoyle
Тан	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
Джозефіна	30	40	ApprenticeGremlin	2	2	IronGolem	2	3	IronGolem
Неела	30	40	ApprenticeGremlin	4	4	StoneGargoyle	2	3	IronGolem
Торосар	30	40	ApprenticeGremlin	1	1	Ballista	2	3	IronGolem
Фафнер	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
Рісса	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
Іона	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
Астрал	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
Халон	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
Серена	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
Дареміт	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
Теодор	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
Солмір	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
Кіра	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
Айн	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
Фіона	15	25	Imp	3	4	HellHound	3	4	HellHound
Рашка	15	25	Imp	4	7	Gog	3	4	HellHound
Маріус	15	25	Imp	4	7	Gog	3	4	HellHound
Ігнатіус	15	25	Imp	15	25	Imp	15	25	Imp
Октавія	15	25	Imp	4	7	Gog	3	4	HellHound
Калх	4	7	Gog	4	7	Gog	4	7	Gog
Пір	15	25	Imp	1	1	Ballista	3	4	HellHound
Німус	15	25	Imp	4	7	Gog	3	4	HellHound
Айден	15	25	Imp	4	7	Gog	3	4	HellHound
Ксайрон	15	25	Imp	4	7	Gog	3	4	HellHound
Аксіс	15	25	Imp	4	7	Gog	3	4	HellHound
Олема	15	25	Imp	4	7	Gog	3	4	HellHound
Калід	15	25	Imp	4	7	Gog	3	4	HellHound
Аш	15	25	Imp	4	7	Gog	3	4	HellHound
Зідар	15	25	Imp	4	7	Gog	3	4	HellHound
Ксарфакс	15	25	Imp	4	7	Gog	3	4	HellHound
Стракер	4	6	Zombie	4	6	Zombie	4	6	Zombie
Вок'ял	20	30	Skeleton	4	6	Zombie	4	6	Wight
Моандор	20	30	Skeleton	4	6	Zombie	4	6	Wight
Чарна	20	30	Skeleton	4	6	Wight	4	6	Wight
Таміка	20	30	Skeleton	4	6	Zombie	4	6	Wight
Ісра	20	30	Skeleton	4	6	Zombie	4	6	Wight
Клавіус	20	30	Skeleton	4	6	Zombie	4	6	Wight
Ґалтран	20	30	Skeleton	20	30	Skeleton	20	30	Skeleton
Септенна	20	30	Skeleton	4	6	Zombie	4	6	Wight
Аіслінн	20	30	Skeleton	4	6	Zombie	4	6	Wight
Сандро	20	30	Skeleton	4	6	Zombie	4	6	Wight
Німбус	20	30	Skeleton	4	6	Zombie	4	6	Wight
Тант	20	30	Skeleton	4	6	Zombie	4	6	Wight
Ксі	20	30	Skeleton	4	6	Zombie	4	6	Wight
Відоміна	20	30	Skeleton	4	6	Zombie	4	6	Wight
Нагаш	20	30	Skeleton	4	6	Zombie	4	6	Wight
