Region Name	Campaign Name	Scenario Name	Map Area Name
"{Сауспорт}

Королева Катерина залишила країну, щоб просити військової допомоги у Гевіна Магнуса, короля Бракади. Інші полководці прочісують околиці. Облаштуйтеся на місці, зберіть місцеве ополчення, розвідайте, як далеко проникли ніґонські загарбники, та визначте шлях їхнього вторгнення."	Good1	G1a	Map Area 1
"{Ангельська Брама}

Чутки про ангелів неподалік міста Фер-Фезер вимагають перевірки. Якщо вони правдиві, необхідно буде організувати безпеку міста і спробувати схилити ангелів на наш бік."	Good1	G1b	Map Area 2
"{Грифонкліф}

Об'єднані сили ніґонців та кріганців утримують Грифонкліф, де щороку гніздяться грифони з усієї Ератії. Багато поколінь тому грифони стали силою, з допомогою якої вдалося об'єднати розрізнені землі; сьогодні вони — ключ до порятунку країни."	Good1	G1c	Map Area 3
"{Батлстед}

Першою фазою боротьби за визволення Ератії повинна стати битва за Стедвік, її столицю, яка знаходиться в лапах ніґонських загарбників. Це буде нелегко, оскільки Верховні Лорди підземель завалили гірські перевали, що ведуть у Стедвікську долину."	Good2	G2a	Map Area 1
"{Еофол}

Королева Катерина одержала листа від лорда Люцифера Кригана III, верховного командуючого Еофола. Він стверджує, що взяв у полон чоловіка Катерини, Роланда Айронфіста, короля Енрота, й вимагає за його життя викуп в один мільйон золотих."	Good2	G2b	Map Area 2
"{Маршленд і Гілбридж}

До двору прибув посол Бракади зі звісткою від короля Гевіна Магнуса: Бракада готова надати Ератії військову допомогу, щоб повернути західні землі, захоплені мародерами Таталії й Крулода. Пора поставити сусідів на місце."	Good2	G2c	Map Area 3
"{Грейнрич та Файркоуст}

Тепер ми знаємо, яким чином Ніґону й Еофолу вдалося захопити країну. Вони буквально прорили собі шлях під Ніґонською протокою та вломилися у ходи гномів вздовж берегів Ератії. Доведеться змусити їх пройти цим шляхом ще раз — але тепер їх будуть гнати наші війська! Загарбники повинні назавжди залишити наші землі."	Good2	G2d	Map Area 4
"{Маршленд}

Король Тралоск, правитель Таталії, хоче вивести свою країну з боліт раз і назавжди. Йому знадобиться допомога найманця, й він хоче скористатися вашими послугами. Доки Ератія зайнята своєю війною, саме час розширити кордони!"	Neutral1	N1a	Map Area 1
"{Майнвел}

Герцог Вінстон Борагус, правитель Крулода, також потребує послуг найманців. Він бажає, щоб ви очолили ряд вилазок на землі Ератії. Необхідно награбувати достатньо золота, щоб забезпечити крулодське військо усім необхідним для… інших справ."	Neutral1	N1b	Map Area 2
"{Гілбридж}

Тепер ваших послуг прагнуть і король Таталії Тралоск, і правитель Крулода герцог Вінстон Борагус. Вони воюють поміж собою за останній клаптик землі, що лежить поміж їхніми кордонами. Іронія в тому, що ця земля сама собою нічого не варта. Вирішуйте, кому ви оберете служити. Все у ваших руках."	Neutral1	N1c	Map Area 3
"{Форестлоу}

Дехто намагається пробитися до аванпосту ератійців. Він везе їм докази, що викривають убивцю короля Грифонхарта. Поки посланець у безпеці, однак нежить, вірна новому королю, перегороджує йому шлях. Вам належить супроводжувати його на останньому відрізку шляху."	Good3	G3a	Map Area 1
"{Смарагдові Пагорби — Вудгрув}

Ви очолюєте об'єднанні сили Ератії, Ав-Лі, Бракади й некромантів, що вирішили виступити проти короля-мерця Грифонхарта. Орди нежиті сильні, та від вас чекають лише перемоги!"	Good3	G3b	Map Area 2
"{Мармуровий сад}

Настав час останнього бою. Одна ваша присутність знову наповнює землі життям. Залишається розгромити останній оплот смерті, де знайшов прихисток король Грифонхарт. Пора загнати мерців назад у могили!"	Good3	G3c	Map Area 3
"{Ріонпоінт}

Поки Ератія не встигла закликати на допомогу Ав-Лі, ми вирішили вдарити ельфів у саме серце — вбити Королеву золотих драконів. Якщо нам вдасться таким чином усунути найсильнішого союзника ельфів, їм не буде що запропонувати ератійцям."	Evil1	E1a	Map Area 1
"{Грейнріч}

Більшу частину шляху до столиці Ератії наші війська подолають підземними тунелями. Щоб забезпечити елемент несподіванки, знищуйте всіх в кожному поселенні на своєму шляху. Використовуйте розгалужену систему підземних печер."	Evil1	E1b	Map Area 2
"{Батлстед}

Пора захопити столицю Ератії, Стедвік. Завдання не з легких: місто охороняє потужний гарнізон, здатний відбити напад будь-якого ворога. Що гірше, військо королеви Катерини вже на шляху сюди. Потрібно встигнути захопити Стедвік, поки не прийшло підкріплення!"	Evil1	E1c	Map Area 3
"{Мармуровий сад}

Король Грифонхарт, смертний, що вигнав нас з Ератії, мертвий. Вторгнення Ніґона й Еофола обдарувало нас цілим військом нежиті. Нарешті ми можемо зібрати достатньо військ, щоб напасти на Ератію! Та для цього нам потрібний хороший стратег. Розшукайте могилу короля Грифонхарта."	Evil2	E2a	Map Area 1
"{Смарагдові Пагорби}

Ми виявили ідеальне місце біля самого кордону Ератії, де можна збирати відмінний урожай мерців, не привертаючи уваги ератійських військ. Наберіть там військо нежиті, та якнайшвидше — ми виступаємо в похід."	Evil2	E2b	Map Area 2
"{Стронгвілоу та Вудгрув}

Один свавільний лицар смерті не бажає приєднатися до нашого славного походу. Він розраховує, що його нейтралітет допоможе йому вберегти свої володіння від неминучого удару ератійців. Пора навчити його покори."	Evil2	E2c	Map Area 3
"{Форестбері}

Час прийшов. Мертвий король Грифонхарт вибрав цей час для вторгнення. Скоро війська Деї хлинуть в Ератію й зімнуть її. Ціль вашого маневру намічена самим Грифонхартом. Ви поклялися не підвести його."	Evil2	E2d	Map Area 4
"{Кловерфілд}

Перш ніж ми зможемо проголосити свою незалежність, нам потрібен символ, за яким піде народ. Цей символ — Грааль, втрачений віки тому десь у цих землях. Ми повинні його відшукати, інакше всі наші плани зруйнуються, навіть не розпочавши втілюватися у життя. У нас лише три місяці на пошуки."	Secret1	S1a	Map Area 1
"{Форестдейл}

Шлях у Вельнін був не з легких, але останній відрізок буде ще складнішим. Грааль везе рейнджер Ріланд. Він повинен пробратися повз застави Ератії й Ав-Лі до Вельніну й віддати наказ про побудову святилища для Грааля."	Secret1	S1b	Map Area 2
"{Мосвуд}

Грааль щасливо досяг Вельніна. Залишається перетворити це поселення в столичне місто. З всіх боків на нас рухаються війська Ератії й Ав-Лі. Дуже швидко всі зрозуміють, що Спірні землі незалежні від нині й назавжди!"	Secret1	S1c	Map Area 3
