			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Name	Abbreviated Name	Level	Earth	Water	Fire	Air	None	Basic	Advanced	Expert	Power 	None	Basic	Advanced	Expert	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Conflux	None	Basic	Advanced	Expert	Normal	Basic	Advanced	Expert	"Attributes (reference only, do not change)"
																																	
Adventure Spells																																	
																																	
Виклик Cудна	Виклик Cудна	1		x			8	7	7	7	0	50	50	75	100	3	5	5	5	3	5	5	3	3	10	10	20	20	"{Виклик судна}

Викликає наявний, дружній, незайнятий корабель з будь-якого місця мапи.

Ймовірність успіху 50%.
"	"{Виклик судна 1-го рівня}

Викликає наявний, дружній, незайнятий корабель з будь-якого місця мапи.

Ймовірність успіху 50%.
"	"{Виклик судна 2-го рівня}

Викликає наявний, дружній, незайнятий корабель з будь-якого місця мапи. Якщо судна немає, то воно створюється.

Ймовірність успіху 75%.
"	"{Виклик судна 3-го рівня}

Викликає наявний, дружній, незайнятий корабель з будь-якого місця мапи. Якщо судна немає, то воно створюється.
"	 ADV_SPELL
Затоплення Cудна	Затоплення Cудна	2		x			8	6	6	6	0	50	50	75	100	6	4	4	4	4	4	4	4	4	1	1	1	1	"{Затоплення Cудна}

Знищує ваш власний корабель. Використовуйте з обережністю, ефект невідворотний.

Ймовірність успіху 50%.
"	"{Затоплення Cудна 1-го рівня}

Знищує ваш власний корабель. Використовуйте з обережністю, ефект невідворотний.

Ймовірність успіху 50%.
"	"{Затоплення Cудна 2-го рівня}

Знищує ваш власний корабель. Використовуйте з обережністю, ефект невідворотний.

Ймовірність успіху 75%.
"	"{Затоплення Cудна 3-го рівня}

Знищує ваш власний корабель. Використовуйте з обережністю, ефект невідворотний.
"	 ADV_SPELL
Видіння	Видіння	2	x	x	x	x	4	2	2	2	0	1	1	2	3	2	2	2	4	2	2	2	2	2	1	1	1	1	"{Видіння}

Дає вам уявлення про силу ворожої армії, героя чи гарнізону.
"	"{Видіння 1-го рівня}

Дає вам уявлення про силу ворожої армії, героя чи гарнізону. У випадку близько блукаючих монстрів, дає вам точну кількість військ і вказує чи хотіли б вони приєднатися до героя.
"	"{Видіння 2-го рівня}

Дає вам уявлення про силу ворожої армії, героя чи гарнізону. У випадку близько блукаючих монстрів, дає вам точну кількість військ і вказує чи хотіли б вони приєднатися до героя. Дозволяє переглядати основні навички ближнього ворожого героя, типи істот і їх кількість так, якби цей герой був частиною вашого королівства.
"	"{Видіння 3-го рівня}

Дає вам точну кількість військ і вказує чи хотіли б вони приєднатися до героя. Дозволяє переглядати основні навички ближнього ворожого героя, типи істот і їх кількість так, якби цей герой був частиною вашого королівства, так само як і інформацію про недалеке місто, кількість і типи істот в гарнізоні.
"	 ADV_SPELL
Огляд Землі	Огляд Землі	1	x				2	1	1	1	0	0	0	0	0	3	3	3	3	3	3	3	3	3	1	1	1	1	"{Огляд Землі}

Показує заклинателю місцевість з ресурсами.
"	"{Огляд Землі 1-го рівня}

Показує заклинателю місцевість з ресурсами.
"	"{Огляд Землі 2-го рівня}

Показує заклинателю місцевість з ресурсами і шахтами.
"	"{Огляд Землі 3-го рівня}

Показує заклинателю місцевість з ресурсами і шахтами, а також всю територію суші
"	 ADV_SPELL
Маскування	Маскування	2				x	4	2	2	2	0	0	0	0	0	2	2	2	4	2	2	2	0	2	1	1	1	1	"{Маскування}

Дає неправдиву інформацію при спробі ворога оглянути вашого героя.
"	"{Маскування 1-го рівня}

Під дією цього заклинання ваша армія виглядає більш могутньою для ворогів, які намагаються оглянути вашого героя. Число бійців в кожному загоні незмінне.
"	"{Маскування 2-го рівня}

Під дією цього заклинання ваша армія виглядає більш могутньою для ворогів, які намагаються оглянути вашого героя. Число бійців в кожному загоні відображається, як нуль.
"	"{Маскування 3-го рівня}

Під дією цього заклинання ваша армія виглядає більш могутньою для ворогів, які намагаються оглянути вашого героя. Число бійців в кожному загоні незмінне.
"	 ADV_SPELL
Огляд Неба	Огляд Неба	1				x	2	1	1	1	0	0	0	0	0	3	3	3	3	3	3	3	3	3	1	1	1	1	"{Огляд Неба}

Показує заклинателю місця з не захопленими артефактами.
"	"{Огляд Неба 1-го рівня}

Показує заклинателю місця з не захопленими артефактами.
"	"{Огляд Неба 2-го рівня}

Показує заклинателю місця з не захопленими артефактами, а також ворожих героїв.
"	"{Огляд Неба 3-го рівня}

Показує заклинателю місця з не захопленими артефактами, а також ворожих героїв та міста.
"	 ADV_SPELL
