	Description		
Name	Basic	Advanced	Expert
Слідопит	"{Слідопит 1-го рівня}

Збільшує дальність ходу пересіченою місцевістю на 25%."	"{Слідопит 2-го рівня}

Збільшує дальність ходу пересіченою місцевістю на 50%."	"{Слідопит 3-го рівня}

Збільшує дальність ходу пересіченою місцевістю на 75%."
Стрільба	"{Стрільба 1-го рівня}

Збільшує пошкодження, що завдається військами героя при атаці на відстані, на 10%. "	"{Стрілець 2-го рівня}

Збільшує пошкодження, що завдається військами героя при атаці на відстані, на 25%."	"{Стрілець 3-го рівня} 

Збільшує пошкодження, що завдається військами героя при атаці на відстані, на 50%."
Логістика	"{Логістика 1-го рівня}

Збільшує дальність пересування сушею на 10%."	"{Логістика 2-го рівня}

Збільшує дальність пересування сушею на 20%."	"{Логістика 3-го рівня}

Збільшує дальність пересування сушею на 30%."
Розвідка	"{Розвідка 1-го рівня}

Дозволяє героєві бачити на 1 клітину далі."	"{Розвідка 2-го рівня}

Дозволяє героєві бачити на 2 клітини далі."	"{Розвідка 3-го рівня}

Дозволяє героєві бачити на 3 клітини далі."
Дипломатія	"{Дипломатія 1-го рівня}

Дозволяє вести переговори з загонами, які слабші вашого війська, і зменшує плату за капітуляцію на 20%."	"{Дипломатія 2-го рівня}

Дозволяє вести переговори з загонами, які слабші вашого війська, і зменшує плату за капітуляцію на 40%."	"{Дипломатія 3 ступені}

Дозволяє вести переговори з загонами, які слабші вашого війська, і зменшує плату за капітуляцію на 60%."
Навігація	"{Навігація 1-го рівня}

Збільшує дальність пересування морем на 50%."	"{Навігація 2-го рівня}

Збільшує дальність пересування морем на 100%."	"{Навігація 3-го рівня}

Збільшує дальність пересування морем на 150%."
Лідерство	"{Лідерство 1-го рівня}

Підвищує мораль військ героя на 1."	"{Лідерство 2-го рівня}

Підвищує мораль військ героя на 2."	"{Лідерство 3-го рівня}

Підвищує мораль військ героя на 3."
Мудрість	"{Мудрість 1-го рівня}

Дозволяє герою вивчати заклинання до 3-го рівня включно."	"{Мудрість 2-го рівня}

Дозволяє герою вивчати заклинання до 4-го рівня включно."	"{Мудрість 3-го рівня}

Дозволяє герою вивчати заклинання до 5-го рівня включно."
Містицизм	"{Містицизм 1-го рівня}

Дозволяє герою відновлювати 2 очка магії щодня."	"{Містицизм 2-го рівня}

Дозволяє герою відновлювати 3 очки магії щодня."	"{Містицизм 3-го рівня}

Дозволяє герою відновлювати 4 очки магії щодня."
Удача	"{Удача 1-го рівня}

Підвищує удачу героя на 1."	"{Удача 2-го рівня}

Підвищує удачу героя на 2."	"{Удача 3-го рівня}

Підвищує удачу героя на 3."
Балістика	"{Балістика 1-го рівня}

Дозволяє керувати катапультою, роблячи постріли підвищеної ефективності."	"{Балістика 2-го рівня}

Дозволяє керувати катапультою і робити два постріли підвищеної ефективності."	"{Балістика 3-го рівня}

 Дозволяє керувати катапультою і робити два постріли максимальної ефективності."
Орлине око	"{Орлине око 1-го рівня}

Герой з імовірністю 40% вивчить заклинання 1 або 2-го рівня, накладене противником під час битви."	"{Орлине око 2-го рівня}

Герой з імовірністю 50% вивчить заклинання до 3-го рівня включно, накладене противником під час битви."	"{Орлине око 3-го рівня}

Герой з імовірністю 60% вивчить заклинання до 4-го рівня включно, накладене противником під час битви."
Некромантія	"{Некромантія 1-го рівня}

Дозволяє підняти 10% убитих в битві істот у вигляді нежиті."	"{Некромантія 2-го рівня}

Дозволяє підняти 20% убитих в битві істот у вигляді нежиті."	"{Некромантія 3 ступені}

Дозволяє підняти 30% убитих в битві істот у вигляді нежиті."
Скарбник	"{Скарбник 1-го рівня}

Герой додає до загального запасу золота 125 золотих щодня."	"{Скарбник 2-го рівня}

Герой додає до загального запасу золота 250 золотих щодня."	"{Скарбник 3 ступені}

Герой додає до загального запасу золота 500 золотих щодня."
Магія Вогню	"{Магія Вогню 1-го рівня}

Зменшує витрати очок магії на заклинання магії Вогню."	"{Магія Вогню 2-го рівня}

Збільшує ефективність заклинань магії Вогню і зменшує витрати очок магії на них."	"{Магія Вогню 3-го рівня}

Дозволяє накладати заклинання магії Вогню з максимальною ефективністю та мінімальними витратами очок магії."
Магія Повітря	"{Магія Повітря 1-го рівня}

Зменшує витрати очок магії на заклинання магії Повітря."	"{Магія Повітря 2-го рівня}

Збільшує ефективність заклинань магії Повітря і зменшує витрати очок магії на них."	"{Магія Повітря 3-го рівня}

Дозволяє накладати заклинання магії Повітря з максимальною ефективністю та мінімальними витратами очок магії."
Магія Води	"{Магія Води 1-го рівня}

Зменшує витрати очок магії на заклинання магії Води."	"{Магія Води 2-го рівня}

Збільшує ефективність заклинань магії Води і зменшує витрати очок магії на них."	"{Магія Води 3-го рівня}

Дозволяє накладати заклинання магії Води з максимальною ефективністю та мінімальними витратами очок магії."
Магія Землі	"{Магія Землі 1-го рівня}

Зменшує витрати очок магії на заклинання магії Землі."	"{Магія Землі 2-го рівня}

Збільшує ефективність заклинань магії Землі і зменшує витрати очок магії на них."	"{Магія Землі 3-го рівня}

Дозволяє накладати заклинання магії Землі з максимальною ефективністю та мінімальними витратами очок магії."
Учений	"{Учений 1-го рівня}

Дозволяє героям навчати один одного заклинанням 1 і 2 рівнів, записаним у них в книгах."	"{Учений 2-го рівня} 

Дозволяє героям навчати один одного заклинанням до 3-го рівня включно, записаним у них в книгах."	"{Учений 3-го рівня}

Дозволяє героям навчати один одного заклинанням до 4-го рівня включно, записаним у них в книгах."
Тактика	"{Тактика 1-го рівня}

Дозволяє герою розташовувати війська перед початком битви в межах перших трьох рядів клітин."	"{Тактика 2-го рівня}

Дозволяє герою розташовувати війська перед початком битви в межах перших п'яти рядів клітин."	"{Тактика 3-го рівня} 

Дозволяє герою розташовувати війська перед початком битви в межах перших семи рядів клітин."
