		
Wall Section	"Hit Points (max is 3, only walls, towers, the gate, and the main building are used, unused must be 0)"	
Castle		
Підйомний міст	0	
Мотузка підйомного моста	0	
Рів	0	
Край рову	0	
Задня стіна	0	
Верхня вежа	2	
Найвища стіна	2	
Верхня опора	0	
Верхня стіна	2	
Ворота	2	
Нижня стіна	2	
Нижня опора	0	
Найнижча стіна	2	
Нижня вежа	2	
Замок	2	
Дах замку	0	
Дах нижньої вежі 	0	
Дах верхньої вежі	0	

Rampart		
Підйомний міст	0	
Мотузка підйомного моста	0	
Рів	0	
Край рову	0	
Задня стіна	0	
Верхня вежа	2	
Найвища стіна	2	
Верхня опора	0	
Верхня стіна	2	
Ворота	2	
Нижня стіна	2	
Нижня опора	0	
Найнижча стіна	2	
Нижня вежа	2	
Головна будівля	2	
Головна будівля Cvr	0	
Дах нижньої вежі	0	
Дах верхньої вежі	0	

Tower		
Підйомний міст	0	
Мотузка підйомного моста	0	
Рів	0	
Край рову	0	
Задня стіна	0	
Верхня вежа	2	
Найвища стіна	2	
Верхня опора	0	
Верхня стіна	2	
Ворота	2	
Нижня стіна	2	
Нижня опора	0	
Найнижча стіна	2	
Нижня вежа	2	
Головна будівля	2	
Головна будівля Cvr	0	
Дах нижньої вежі	0	
Дах верхньої вежі	0	

Inferno		
Підйомний міст	0	
Мотузка підйомного моста	0
Рів	0
Край рову	0
Задня стіна	0
Верхня вежа	2
Найвища стіна	2
Верхня опора	0
Верхня стіна	2
Ворота	2
Нижня стіна	2
Нижня опора	0
Найнижча стіна	2
Нижня вежа	2
Головна будівля	2
Головна будівля Cvr	0
Дах нижньої вежі	0
Дах верхньої вежі	0	

Necropolis		
Підйомний міст	0	
Мотузка підйомного мосту	0	
Рів	0	
Край рову	0	
Задня стіна	0	
Верхня вежа	2	
Найвища стіна	2	
Верхня опора	0	
Верхня стіна	2	
Ворота	2	
Нижня стіна	2	
Нижня опора	0	
Найнижча стіна	2	
Нижня вежа	2	
Головна будівля	2	
Головна будівля Cvr	0	
Дах нижньої вежі	0	
Дах верхньої вежі	0	

Dungeon		
Підйомний міст	0	
Мотузка підйомного мосту	0	
Рів	0	
Край рову	0	
Задня стіна	0	
Верхня вежа	2	
Найвища стіна	2	
Верхня опора	0	
Верхня стіна	2	
Ворота	2	
Нижня стіна	2	
Нижня опора	0	
Найнижча стіна	2	
Нижня вежа	2	
Головна будівля	2	
Головна будівля Cvr	0	
Дах нижньої вежі	0	
Дах верхньої вежі	0	

Stronghold		
Підйомний міст	0	
Мотузка підйомного мосту	0	
Рів	0	
Край рову	0	
Задня стіна	0	
Верхня вежа	2	
Найвища стіна	2	
Верхня опора	0	
Верхня стіна	2	
Ворота	2	
Нижня стіна	2	
Нижня опора	0	
Найнижча стіна	2	
Нижня вежа	2	
Головна будівля	2	
Головна будівля Cvr	0	
Дах нижньої вежі	0	
Дах верхньої вежі	0	

Fortress		
Підйомний міст	0	
Мотузка підйомного мосту	0
Рів	0
Край рову	0
Задня стіна	0
Верхня вежа	2
Найвища стіна	2
Верхня опора	0
Верхня стіна	2
Ворота	2
Нижня стіна	2
Нижня опора	0
Найнижча стіна	2
Нижня вежа	2
Головна будівля	2
Головна будівля Cvr	0
Дах нижньої вежі	0
Дах верхньої вежі	0	

Forge		
Підйомний міст	0	
Мотузка підйомного мосту	0	
Рів	0	
Край рову	0	
Задня стіна	0	
Верхня вежа	2	
Найвища стіна	2	
Верхня опора	0	
Верхня стіна	2	
Ворота	2	
Нижня стіна	2	
Нижня опора	0	
Найнижча стіна	2	
Нижня вежа	2
Головна будівля	2
Головна будівля Cvr	0
Дах нижньої вежі	0
Дах верхньої вежі	0
